KNC,BZRX,0xEB2197cD8d9E4f4638d0b4D0dD8ff5D46F6D1fcA
LEND,AMPL,0xaCb74201Fe556ce4b01dF104Aba3666855D10D09
USDC,SNX,0x3A1B4f6Dce585eF469a5DAA73A6EB87ce13E859D
KNC,DAI,0x22228474041f3D98ec314Eb71362b6F79971d5fB
KNC,AMPL,0x10cb5745dbC1a9d40e56b87a89443B7eE5685700
USDC,KNC,0xa14c9AA1337F25135Ce6917464fC5f01CC3C9CA9
LEND,USDC,0x308d87865397672a74Ec62B3dC8E7323a18c0f1e
USDC,sUSD,0x0865b9C7Cd9aa9F0e9F61E96C11e524145b70550
USDC,USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f
USDC,WBTC,0x004375Dff511095CC5A197A54140a24eFEF3A416
PNK,USDC,0xF705BF92d536712Bdee5d24e6F171ca48fE2C748
LEND,COMP,0x50E5Dd5BE3f93256690Adc12EF8EdAb1eB18612d
USDC,PNK,0xF705BF92d536712Bdee5d24e6F171ca48fE2C748
KNC,WETH,0xf49C43Ae0fAf37217bDcB00DF478cF793eDd6687
USDC,DAI,0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5
USDC,COMP,0x6F81d90E771B551451382b4c8B41C86B978d3420
USDC,LEND,0x308d87865397672a74Ec62B3dC8E7323a18c0f1e
WETH,BAT,0xB6909B960DbbE7392D405429eB2b3649752b4838
LEND,WETH,0xaB3F9bF1D81ddb224a2014e98B238638824bCf20
USDC,LINK,0xd8C8a2B125527bf97c8e4845b25dE7e964468F77
KNC,SNX,0x3375ACcF7291dF28885822b37d872aeB9d14029d
USDC,BAND,0x20e16467A40157F3C2D83BD120a5B72748a8ecB8
LEND,DAI,0xb603c2b5AB4ee7932103b42f8dd899C8721DD25E
BZRX,WETH,0xB9b752F7f4a4680eEb327ffe728f46666763A796
BZRX,KNC,0xEB2197cD8d9E4f4638d0b4D0dD8ff5D46F6D1fcA
WETH,ZRX,0xc6F348dd3B91a56D117ec0071C1e9b83C0996De4
